mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
34.277235992016,31.638305423201658,-0.5326654939990869,-0.35038064263844615,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.07644253881475,-7.8601850574721635,-36105.89774902176
40.94502483737761,38.04055429213123,0.6234218272633913,-0.6560591516748049,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.08227475821349,-7.8601850574721635,-37067.00261565666
46.62224326655809,36.53740610369167,0.5750998840039218,-0.33627230551537896,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.086800920715476,-7.8601850574721635,-36912.16936560382
48.11615652314286,36.327350315576425,0.3173183128007173,0.12465815296479552,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.11544508316433,-7.8601850574721635,-37253.135070441116
39.465107086638874,34.83093599750723,-0.6509173384714694,0.7933517628458717,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.11578305424557,-7.8601850574721635,-36851.21910098311
41.040696423589935,39.42791653597726,-0.21751116948055807,0.4475680213466513,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.12559225159619,-7.8601850574721635,-37211.252017489205
37.18298158150858,33.152177520712954,0.05465974708852019,-0.4161396388807476,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.12563940183058,-7.8601850574721635,-36375.79097126823
47.86110744804916,36.10878060602335,0.6392040798667009,-0.4308599438303424,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.126578125693285,-7.8601850574721635,-37240.84455970252
44.155187136902796,38.168297291694,0.09496821699758341,0.2555047562906433,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.13505666956581,-7.8601850574721635,-37178.062267175555
45.10050143990267,34.64977865074627,0.4891427370009337,-0.5794602143893521,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.135773071707234,-7.8601850574721635,-37006.39802529288
36.31884168478743,35.49620780618804,0.1730867441792382,-0.32140332285576967,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.13761113092987,-7.8601850574721635,-36672.491922325804
44.87110395845439,37.48337548977454,-0.0658091936012278,0.45004760524779847,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.13808308872827,-7.8601850574721635,-37176.56349921538
49.38776503358501,32.137486133881005,0.3170684222650896,-0.2931888048161512,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.14869663828136,-7.8601850574721635,-36732.23573990217
38.85444164036781,32.080154929790424,0.26837389613292273,-0.607476750171159,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.1970116208996,-7.8601850574721635,-36474.474412660136
44.490796528363774,35.07167488365933,0.2605838665559379,-0.27968293232793273,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.19933478137389,-7.8601850574721635,-37022.62006505172
46.12304411035457,35.19116170008491,-0.16248993605161846,0.4970694941821747,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.20362344849529,-7.8601850574721635,-37147.65894378176
35.51278875224199,33.87245960243314,-0.4304033781131929,-0.08210386569777109,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.211679027057315,-7.8601850574721635,-36518.58482516249
44.76792537465819,37.30904923626355,0.4981889136891459,-0.32899425546312094,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.21244608578709,-7.8601850574721635,-37127.92347773968
42.588653426815405,41.443959221083674,-0.17985060414781687,0.7037002100736955,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.2304727731687,-7.8601850574721635,-37178.59357013671
46.11052911296281,37.01317320323998,-0.14462729590478893,0.6567347302560425,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.23610193044824,-7.8601850574721635,-36911.2880762862
43.44540947044523,39.24068182478331,-0.12340870031165228,0.5532661794006839,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,36.23727732487761,-7.8601850574721635,-37011.55077103421
